date,description,amount
2025-10-01,Salary credit from employer,85000
2025-10-02,House rent transfer,-18000
2025-10-03,Fresh grocery store,-2400
2025-10-04,Uber trip to office,-350
2025-10-05,Electricity bill payment,-2100
2025-10-06,Netflix subscription,-649
2025-10-07,Pharmacy medical store,-950
2025-10-08,Amazon electronics purchase,-5200
2025-10-09,Restaurant dinner,-1700
2025-10-10,Fuel station refill,-3200
2025-10-11,Internet bill,-999
2025-10-12,Movie tickets,-780
2025-10-13,Zomato food order,-620
2025-10-14,Mobile bill recharge,-499
2025-10-15,Flipkart clothing order,-2600
2025-10-16,Bus pass recharge,-1200
2025-10-17,Supermarket grocery,-2950
2025-10-25,Emergency hospital payment,-22000
2025-11-01,Salary credit from employer,85000
2025-11-02,House rent transfer,-18000
2025-11-03,Fresh grocery store,-2400
2025-11-04,Uber trip to office,-350
2025-11-05,Electricity bill payment,-2100
2025-11-06,Netflix subscription,-649
2025-11-07,Pharmacy medical store,-950
2025-11-08,Amazon electronics purchase,-5200
2025-11-09,Restaurant dinner,-1700
2025-11-10,Fuel station refill,-3200
2025-11-11,Internet bill,-999
2025-11-12,Movie tickets,-780
2025-11-13,Zomato food order,-620
2025-11-14,Mobile bill recharge,-499
2025-11-15,Flipkart clothing order,-2600
2025-11-16,Bus pass recharge,-1200
2025-11-17,Supermarket grocery,-2950
2025-11-25,Laptop replacement purchase,-31000
2025-12-01,Salary credit from employer,85000
2025-12-02,House rent transfer,-18000
2025-12-03,Fresh grocery store,-2400
2025-12-04,Uber trip to office,-350
2025-12-05,Electricity bill payment,-2100
2025-12-06,Netflix subscription,-649
2025-12-07,Pharmacy medical store,-950
2025-12-08,Amazon electronics purchase,-5200
2025-12-09,Restaurant dinner,-1700
2025-12-10,Fuel station refill,-3200
2025-12-11,Internet bill,-999
2025-12-12,Movie tickets,-780
2025-12-13,Zomato food order,-620
2025-12-14,Mobile bill recharge,-499
2025-12-15,Flipkart clothing order,-2600
2025-12-16,Bus pass recharge,-1200
2025-12-17,Supermarket grocery,-2950
2025-12-25,Year-end travel booking,-28000
2026-01-01,Salary credit from employer,85000
2026-01-02,House rent transfer,-18000
2026-01-03,Fresh grocery store,-2400
2026-01-04,Uber trip to office,-350
2026-01-05,Electricity bill payment,-2100
2026-01-06,Netflix subscription,-649
2026-01-07,Pharmacy medical store,-950
2026-01-08,Amazon electronics purchase,-5200
2026-01-09,Restaurant dinner,-1700
2026-01-10,Fuel station refill,-3200
2026-01-11,Internet bill,-999
2026-01-12,Movie tickets,-780
2026-01-13,Zomato food order,-620
2026-01-14,Mobile bill recharge,-499
2026-01-15,Flipkart clothing order,-2600
2026-01-16,Bus pass recharge,-1200
2026-01-17,Supermarket grocery,-2950
2026-01-25,Car repair emergency,-26000
2026-02-01,Salary credit from employer,85000
2026-02-02,House rent transfer,-18000
2026-02-03,Fresh grocery store,-2400
2026-02-04,Uber trip to office,-350
2026-02-05,Electricity bill payment,-2100
2026-02-06,Netflix subscription,-649
2026-02-07,Pharmacy medical store,-950
2026-02-08,Amazon electronics purchase,-5200
2026-02-09,Restaurant dinner,-1700
2026-02-10,Fuel station refill,-3200
2026-02-11,Internet bill,-999
2026-02-12,Movie tickets,-780
2026-02-13,Zomato food order,-620
2026-02-14,Mobile bill recharge,-499
2026-02-15,Flipkart clothing order,-2600
2026-02-16,Bus pass recharge,-1200
2026-02-17,Supermarket grocery,-2950
2026-02-25,Emergency hospital payment,-24000
2026-03-01,Salary credit from employer,85000
2026-03-02,House rent transfer,-18000
2026-03-03,Fresh grocery store,-2400
2026-03-04,Uber trip to office,-350
2026-03-05,Electricity bill payment,-2100
2026-03-06,Netflix subscription,-649
2026-03-07,Pharmacy medical store,-950
2026-03-08,Amazon electronics purchase,-5200
2026-03-09,Restaurant dinner,-1700
2026-03-10,Fuel station refill,-3200
2026-03-11,Internet bill,-999
2026-03-12,Movie tickets,-780
2026-03-13,Zomato food order,-620
2026-03-14,Mobile bill recharge,-499
2026-03-15,Flipkart clothing order,-2600
2026-03-16,Bus pass recharge,-1200
2026-03-17,Supermarket grocery,-2950
2026-03-25,Home appliance replacement,-27000
